(-811.3774,279.3121)
(-309.5670,-193.5108)
(586.0453,618.6988)
(80.3090,239.3318)
(-548.2671,339.0293)
(-471.3522,740.3520)
(-96.8418,834.0453)
(-681.2738,130.5501)
(-541.4626,201.6747)
(-31.7837,-708.1698)
(-257.0102,-369.2735)
(609.5510,-57.3267)
(608.3271,-934.5478)
(126.1779,337.2355)
(400.1054,-467.3880)
(619.8081,69.1973)
(-565.7824,-179.5473)
(848.1153,-338.5407)
(979.1038,-846.9362)
(863.1414,963.1134)
(-602.7224,-895.5820)
(-524.2995,-712.6390)
(-486.3283,715.3394)
(294.0111,706.3429)
(-582.7826,151.6995)
(-838.1079,-203.2287)
(-993.7981,988.6992)
(221.6472,871.7405)
(-861.7731,-784.7224)
(669.7465,-12.4446)
(-335.1506,-526.2532)
(-563.5172,-965.7585)
(403.1114,105.5753)
(-780.0670,-496.4350)
(-754.5814,-386.9260)
(-561.3528,443.3077)
(-772.2671,676.8590)
(438.8421,-99.3239)
(-11.6801,-659.0152)
(637.9995,367.6150)
(805.2200,-201.6586)
(615.0046,868.6348)
(694.6885,155.2508)
(339.2185,993.0066)
(912.3351,-821.2598)
(-169.4004,745.0455)
(-460.3904,-445.4390)
(591.8980,-31.6443)
(797.8011,-797.9053)
(-846.8488,951.3966)
(802.9375,-150.5363)
(-528.9985,553.0998)
(547.1861,658.8840)
(601.2046,944.8145)
(-99.4227,32.1555)
(-614.7600,936.5337)
(94.0579,328.5629)
(614.0797,897.3560)
(-157.5049,-844.1963)
(82.1376,-440.6797)
(-943.1596,-80.8458)
(399.7608,-826.9243)
(10.3781,-224.9871)
(478.4951,944.9059)
(601.3651,809.4864)
(542.7977,364.2669)
(-642.5431,-62.8470)
(70.8235,-362.8183)
(750.6291,-234.4455)
(999.8600,722.0640)
(544.0274,576.9721)
(-128.3810,-781.7157)
(-150.3319,-343.7311)
(121.3769,-580.2650)
(393.3354,692.8824)
(-489.6781,521.8689)
(153.2817,-207.6933)
(766.5665,-598.6698)
(-699.7917,-40.0670)
(-852.3157,848.8249)
(-475.7490,-304.6639)
(65.5337,966.1012)
(74.7101,826.1631)
(828.5139,684.2503)
(55.1968,-741.1144)
(-237.8092,-538.8041)
(699.3625,-231.2446)
(-858.2966,224.2789)
(638.4741,-757.7681)
(-689.2921,115.3235)
(-265.7602,453.1438)
(461.4002,559.4354)
(-391.1628,995.6724)
(-936.4898,222.9685)
(980.7350,841.8425)
(342.1322,-547.3504)
(299.5770,332.5175)
(446.1928,-700.6120)
(93.1661,-563.1222)
(377.1207,193.7626)
(441.7869,79.5823)
(398.5758,795.6195)
(445.0615,-209.6663)
(-150.7359,-106.2560)
(-186.2230,612.6602)
(742.7748,312.3100)
(-746.0865,-31.9328)
(-344.0330,-828.0850)
(538.4284,740.0806)
(417.2987,-301.5920)
(83.1900,-496.0228)
(628.1965,-614.6772)
(-275.0039,-646.3255)
(-714.6449,740.1123)
(50.3265,-460.6153)
(295.0927,612.6936)
(496.5826,-52.5951)
(-858.8351,-28.8277)
(447.2356,960.6890)
(241.5983,-701.1756)
(937.7534,156.3010)
(-329.4762,216.3197)
(1.2060,236.4092)
(558.8950,364.1864)
(-397.6219,828.6900)
(-666.1285,-91.7266)
(-920.1023,-749.0173)
(822.2416,-265.1936)
(614.4180,386.6918)
(-139.6511,141.4917)
(245.1146,645.3983)
(-993.2816,-165.1857)
(-519.8824,433.9567)
(-329.6496,-937.5141)
(709.6764,-336.0616)
(530.6270,-534.4413)
(-751.8527,547.6514)
(-765.9009,128.6487)
(851.6386,-266.6518)
(-428.7827,-655.7095)
(950.3513,235.8644)
(-10.4495,-229.6203)
(-488.5137,153.0130)
(-497.6362,-816.5529)
(-834.4790,-58.8710)
(-668.1597,532.3601)
(105.6991,-200.7910)
(837.6890,-253.5409)
(279.6606,496.6386)
(-98.4596,-495.2817)
(-989.2388,-625.0244)
(911.8652,166.6160)
(206.3933,-326.7247)
(-688.1259,-169.6890)
(-373.5448,705.3613)
(-997.8408,-784.4673)
(179.5821,331.6686)
(-659.6646,98.5220)
(772.0954,-560.5319)
(-918.8160,-481.7259)
(662.9342,-160.8978)
(486.7330,0.2111)
(473.8905,-86.0051)
(517.2977,944.2977)
(536.0601,110.6723)
(-674.0669,818.1063)
(-623.8872,-380.2681)
(604.5076,442.3033)
(-453.8999,-352.3676)
(-285.6364,-312.0695)
(-198.7625,831.6110)
(-286.8932,580.9371)
(-415.3054,628.4060)
(-343.2149,-93.5055)
(-733.0507,285.6430)
(917.7705,945.1143)
(698.8454,-968.6473)
(129.2568,-311.4252)
(621.7322,-303.5741)
(392.0981,710.1154)
(181.4796,-111.9859)
(456.0569,971.1778)
(172.4369,-950.5065)
(643.4383,968.3464)
(254.0406,-380.9367)
(-534.5402,275.4750)
(387.6938,409.3065)
(-213.9712,-151.9842)
(-47.5011,25.6215)
(-512.7372,144.9175)
(-334.7000,-471.9127)
(890.5487,-831.9744)
(444.7159,-534.2221)
(476.6400,955.5826)
(203.1465,-157.1532)
(234.6966,904.3329)
(703.2433,86.3772)
(-712.8199,-971.9578)
(-429.4290,-483.5586)
(-896.9338,33.8464)
